model,avg_precision,avg_recall,avg_f1,avg_mean_iou,total_true_pos,total_false_pos,total_false_neg,num_images
RGB-augment,0.762818288729058,0.7705182827852292,0.7589902277694407,0.7822769579434244,22955,4006,4336,951
RGB-origin,0.7855552703239257,0.7285071445839206,0.7483356772934906,0.7763076259509586,21832,3237,5459,951
