image,precision,recall,f1,mean_iou,true_pos,false_pos,false_neg,model
img5470,0.9333333333333333,0.9767441860465116,0.9545454545454545,0.8592421424285451,42,3,1,RGB-augment
img5474,0.925,0.925,0.925,0.8536571931096094,37,3,3,RGB-augment
img5476,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.890164604092365,20,2,1,RGB-augment
img5489,0.7272727272727273,0.7272727272727273,0.7272727272727273,0.8943982500942539,8,3,3,RGB-augment
img5495,0.8,0.8,0.8000000000000002,0.8115376500006245,16,4,4,RGB-augment
img5499,0.9,0.8181818181818182,0.8571428571428572,0.8599324103837895,9,1,2,RGB-augment
img5510,0.8,0.6,0.6857142857142857,0.7898922576294197,12,3,8,RGB-augment
img5512,0.7924528301886793,0.7636363636363637,0.7777777777777778,0.8027009856988337,42,11,13,RGB-augment
img5513,0.7368421052631579,0.7636363636363637,0.7499999999999999,0.817291865561832,42,15,13,RGB-augment
img5521,0.9111111111111111,0.7592592592592593,0.8282828282828282,0.8531951775690741,41,4,13,RGB-augment
img5528,0.7857142857142857,1.0,0.88,0.8626768364932328,11,3,0,RGB-augment
img5529,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img5547,0.9393939393939394,0.96875,0.9538461538461539,0.8853688164130903,31,2,1,RGB-augment
img5548,0.9736842105263158,0.9736842105263158,0.9736842105263158,0.9008314917112253,37,1,1,RGB-augment
img5555,0.8888888888888888,0.9411764705882353,0.9142857142857143,0.8657445314675734,16,2,1,RGB-augment
img5559,0.043478260869565216,0.3333333333333333,0.07692307692307691,0.6847193657358015,1,22,2,RGB-augment
img5566,0.7272727272727273,0.6153846153846154,0.6666666666666667,0.7730244171729896,8,3,5,RGB-augment
img5571,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.8240250244823321,8,3,1,RGB-augment
img5580,0.6666666666666666,1.0,0.8,0.8556608463477355,8,4,0,RGB-augment
img5582,0.7419354838709677,0.6052631578947368,0.6666666666666666,0.8231064366085401,23,8,15,RGB-augment
img5597,0.9636363636363636,0.8833333333333333,0.9217391304347826,0.866950077533168,53,2,7,RGB-augment
img5608,1.0,1.0,1.0,0.8458650617395653,1,0,0,RGB-augment
img5614,0.9811320754716981,0.9811320754716981,0.9811320754716981,0.8816091826649525,52,1,1,RGB-augment
img5616,0.9302325581395349,0.8,0.8602150537634408,0.8455811104164651,40,3,10,RGB-augment
img5618,0.8805970149253731,0.921875,0.9007633587786259,0.87589821936559,59,8,5,RGB-augment
img5625,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img563,1.0,1.0,1.0,0.8750651937569115,15,0,0,RGB-augment
img5642,0.0,0.0,0.0,0.0,0,16,1,RGB-augment
img565,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8736611157711968,32,4,4,RGB-augment
img5658,0.3,0.8571428571428571,0.4444444444444444,0.7709230259789401,6,14,1,RGB-augment
img5668,0.41935483870967744,0.6190476190476191,0.5,0.7640475776308915,13,18,8,RGB-augment
img5676,0.9803921568627451,0.78125,0.8695652173913042,0.832369799723459,50,1,14,RGB-augment
img5678,0.7647058823529411,0.6842105263157895,0.7222222222222222,0.8844794753711263,13,4,6,RGB-augment
img5687,0.7142857142857143,0.9375,0.8108108108108109,0.864542138189798,15,6,1,RGB-augment
img5705,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img5714,0.0,0.0,0.0,0.0,0,0,0,RGB-augment
img572,0.9555555555555556,0.9148936170212766,0.9347826086956522,0.8760946042447401,43,2,4,RGB-augment
img5741,0.8235294117647058,0.6829268292682927,0.7466666666666667,0.8233020061401861,28,6,13,RGB-augment
img5755,0.9795918367346939,0.8888888888888888,0.9320388349514563,0.852625004234257,48,1,6,RGB-augment
img5756,0.6,0.5,0.5454545454545454,0.8795996565982197,3,2,3,RGB-augment
img5765,0.25,1.0,0.4,0.5686746002366204,1,3,0,RGB-augment
img5766,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.8114503485301018,4,5,2,RGB-augment
img5780,0.3333333333333333,1.0,0.5,0.5927772422021517,1,2,0,RGB-augment
img5781,0.5,0.6666666666666666,0.5714285714285715,0.8794956796113189,2,2,1,RGB-augment
img5790,0.9444444444444444,0.8947368421052632,0.918918918918919,0.8700250009577571,34,2,4,RGB-augment
img5800,0.8,0.4,0.5333333333333333,0.8260443075255581,4,1,6,RGB-augment
img5802,0.14285714285714285,0.25,0.18181818181818182,0.8063481505412595,1,6,3,RGB-augment
img5806,1.0,1.0,1.0,0.8847506266049195,1,0,0,RGB-augment
img5807,0.5555555555555556,0.7142857142857143,0.6250000000000001,0.8835163835529141,5,4,2,RGB-augment
